"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
FAN ONOFF: THERMAL ZONE: AMEN_0300,Fan:OnOff,        0.60,1.53,4936.99,5042.53,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_0400,Fan:OnOff,        0.60,1.53,5042.93,5157.79,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_0501,Fan:OnOff,        0.60,1.53,5191.26,5303.53,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_2100,Fan:OnOff,        0.60,1.53,953.5,980.1,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_FITNESS_2200,Fan:OnOff,        0.60,1.53,7755.1,7944.93,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,Fan:OnOff,        0.60,1.53,466.15,470.57,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,Fan:OnOff,        0.60,1.53,678.04,693.04,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,Fan:OnOff,        0.60,1.53,1017.06,1034.05,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGE_2200,Fan:OnOff,        0.60,1.53,3135.94,3210.04,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_0100,Fan:OnOff,        0.60,1.53,254.27,249.5,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_0200,Fan:OnOff,        0.60,1.53,148.32,161.26,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_0300,Fan:OnOff,        0.60,1.53,953.5,967.48,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_0400,Fan:OnOff,        0.60,1.53,953.5,967.48,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_0500,Fan:OnOff,        0.60,1.53,953.5,967.48,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_2100,Fan:OnOff,        0.60,1.53,148.32,161.26,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_2300,Fan:OnOff,        0.60,1.53,42.38,36.58,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: CORR_2301,Fan:OnOff,        0.60,1.53,21.19,17.88,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2301,Fan:OnOff,        0.60,1.53,1080.63,1110.35,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2302,Fan:OnOff,        0.60,1.53,1080.63,1110.99,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV LOBBY_2300,Fan:OnOff,        0.60,1.53,1991.75,2040.94,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV LOBBY_P100,Fan:OnOff,        0.60,1.53,63.57,64.11,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV LOBBY_P200,Fan:OnOff,        0.60,1.53,63.57,65.21,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: FCC_0100,Fan:OnOff,        0.60,1.53,42.38,44.26,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: LAUNDRY_0100,Fan:OnOff,        0.60,1.53,381.4,383.83,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: LEASING_0100,Fan:OnOff,        0.60,1.53,932.31,954.85,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: LOBBY_MAIL_0100,Fan:OnOff,        0.60,1.53,360.21,372.91,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: PACKAGE_0100,Fan:OnOff,        0.60,1.53,42.38,47.19,635.59,        1.00,""
THERMAL ZONE: RESTROOM_0100: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,105.94,243.59,1512.71,        1.00,""
THERMAL ZONE: RESTROOM_2201: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,42.38,121.81,1512.71,        1.00,""
THERMAL ZONE: RESTROOM_2202: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,42.38,121.81,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0201_4B,Fan:OnOff,        0.60,1.53,275.45,282.7,635.59,        1.00,""
THERMAL ZONE: UNIT_0201_4B: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,84.76,182.69,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0202,Fan:OnOff,        0.60,1.53,84.76,94.48,635.59,        1.00,""
THERMAL ZONE: UNIT_0202: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0203,Fan:OnOff,        0.60,1.53,127.13,132.53,635.59,        1.00,""
THERMAL ZONE: UNIT_0203: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,21.19,73.09,1512.71,        1.00,""
