"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: AMEN_0300,137622.93,76647.62,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_0400,140768.58,78399.75,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_0501,144746.81,80615.26,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_2100,26749.14,14897.75,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_FITNESS_2200,216837.51,120765.58,6.62,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,12843.3,7152.87,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,18914.87,10534.31,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,28222.16,15718.03,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGE_2200,87610.15,48793.63,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_0100,7773.88,4309.53,6.75,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_0200,5024.38,2785.33,6.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_0300,30145.59,16711.99,6.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_0400,30145.59,16711.99,6.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_0500,30146.27,16712.33,6.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_2100,5024.72,2785.33,6.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_2300,1140.0,631.93,4.83,           4
SPD DX HTG COIL: THERMAL ZONE: CORR_2301,556.86,308.8,4.12,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2301,30304.25,16877.48,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2302,30321.66,16887.37,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV LOBBY_2300,55702.19,31022.85,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV LOBBY_P100,1997.47,1107.24,5.75,           4
