"",Electric Energy Use,Electric Demand,Natural Gas Energy Use,Natural Gas Demand,Additional Fuel Use,Additional Fuel Demand,District Cooling Use,District Cooling Demand,District Heating Use,District Heating Demand
Heating -- General,67169.44,77333.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooling -- General,280755.55,183111.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Lighting -- General,211713.88,30601.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- Site Lighting,25872.22,6565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Equipment -- General,312825.01,68415.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Equipment -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- Ventilation (simple),5230.56,1445.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- General,172525.01,20357.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pumps -- General,1083.33,241.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Rejection -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humidification -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Recovery -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Systems -- General,295441.66,46206.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refrigeration -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generators -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
