"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 34 FAN,Fan:OnOff,        0.60,0.81,2945.24,1584.36,334.75,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 52 FAN,Fan:OnOff,        0.60,0.81,2924.05,1571.6,334.75,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 71 FAN,Fan:OnOff,        0.60,0.81,3114.75,1674.44,334.75,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 89 FAN,Fan:OnOff,        0.60,0.81,550.91,294.67,334.75,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_FITNESS_2200,Fan:OnOff,        0.60,1.26,932.31,785.75,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,Fan:OnOff,        0.60,1.26,233.08,201.66,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,Fan:OnOff,        0.60,1.26,593.29,495.72,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,Fan:OnOff,        0.60,1.26,317.83,264.95,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: AMEN_SKYLOUNGE_2200,Fan:OnOff,        0.60,1.26,1462.03,1235.37,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2301,Fan:OnOff,        0.60,1.26,1080.63,918.38,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2302,Fan:OnOff,        0.60,1.26,1080.63,918.58,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: FCC_0100,Fan:OnOff,        0.60,1.26,42.38,37.6,524.33,        1.00,""
