"",Zone,Lighting Power Density,Zone Area,Total Power,End Use Subcategory,Schedule Name,Scheduled Hours/Week,Actual Load Hours/Week,Hours/Week > 1%,Full Load Hours/Week,Return Air Fraction,Conditioned (Y/N),Consumption
THERMAL ZONE: AMEN_0300 AMENITY LIGHTS,THERMAL ZONE: AMEN_0300,0.52,1862.91,968.72,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,3127.78
THERMAL ZONE: AMEN_0400 AMENITY LIGHTS,THERMAL ZONE: AMEN_0400,0.52,1862.91,968.72,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,3127.78
THERMAL ZONE: AMEN_0501 AMENITY LIGHTS,THERMAL ZONE: AMEN_0501,0.52,1862.91,968.72,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,3127.78
THERMAL ZONE: AMEN_2100 AMENITY LIGHTS,THERMAL ZONE: AMEN_2100,0.52,310.54,161.45,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,522.22
THERMAL ZONE: AMEN_FITNESS_2200 AMENITY LIGHTS,THERMAL ZONE: AMEN_FITNESS_2200,0.52,1110.94,577.67,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,1866.67
THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200 AMENITY LIGHTS,THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,0.52,235.73,122.56,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,397.22
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200 AMENITY LIGHTS,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,0.52,454.78,236.46,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,763.89
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201 AMENITY LIGHTS,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,0.52,169.75,88.29,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,286.11
THERMAL ZONE: AMEN_SKYLOUNGE_2200 AMENITY LIGHTS,THERMAL ZONE: AMEN_SKYLOUNGE_2200,0.52,1104.05,574.09,General,MIDRISEAPARTMENT COMMON LIGHT,61.95,61.95,167.98,61.95,      0.0000,Y,1855.56
THERMAL ZONE: CORR_0100 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_0100,0.48,788.35,378.43,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,3313.89
THERMAL ZONE: CORR_0200 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_0200,0.48,1050.23,504.13,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,4416.67
THERMAL ZONE: CORR_0300 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_0300,0.48,6301.62,3024.76,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,26494.44
THERMAL ZONE: CORR_0400 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_0400,0.48,6301.62,3024.76,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,26494.44
THERMAL ZONE: CORR_0500 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_0500,0.48,6301.62,3024.76,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,26494.44
THERMAL ZONE: CORR_2100 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_2100,0.48,1050.23,504.13,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,4416.67
THERMAL ZONE: CORR_2300 90.1-2010 - MIDRISEAPARTMENT - CORRIDOR LIGHTS,THERMAL ZONE: CORR_2300,0.48,235.73,113.13,General,ALWAYS ON,168.0,167.98,167.98,167.98,      0.0000,Y,991.67
