"",Name,Schedule Name,Zone Name,Zone Floor Area,# Zone Occupants,Equipment Level,Equipment/Floor Area,Equipment per person,End-Use SubCategory
           1,THERMAL ZONE: AMEN_0300 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_0300,310.54,3.1,235.97,0.76,76.0,General
           2,THERMAL ZONE: AMEN_0400 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_0400,310.54,3.1,235.97,0.76,76.0,General
           3,THERMAL ZONE: AMEN_0501 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_0501,310.54,3.1,235.97,0.76,76.0,General
           4,THERMAL ZONE: AMEN_2100 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_2100,310.54,3.1,235.97,0.76,76.0,General
           5,THERMAL ZONE: AMEN_FITNESS_2200 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_FITNESS_2200,1110.94,11.1,844.28,0.76,76.0,General
           6,THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,235.73,2.4,179.12,0.76,76.0,General
           7,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,454.78,4.5,345.59,0.76,76.0,General
           8,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,169.75,1.7,129.04,0.76,76.0,General
           9,THERMAL ZONE: AMEN_SKYLOUNGE_2200 AMENITY ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: AMEN_SKYLOUNGE_2200,1104.05,11.0,839.05,0.76,76.0,General
          10,THERMAL ZONE: ELEC_0300 90.1-2010 - OFFICE - ELEC/MECHROOM ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: ELEC_0300,134.55,0.0,36.34,0.27,0.0,General
          11,THERMAL ZONE: ELEC_0400 90.1-2010 - OFFICE - ELEC/MECHROOM ELECTRIC EQUIPMENT,MIDRISEAPARTMENT COMMON EQUIP,THERMAL ZONE: ELEC_0400,134.55,0.0,36.34,0.27,0.0,General
