"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: AMEN_FITNESS_2200,34511.77,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,8857.58,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,21773.56,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,11637.45,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: AMEN_SKYLOUNGE_2200,54259.88,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2301,40338.0,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: ELEV CONTROL_2302,40346.87,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: FCC_0100,1651.82,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: LAUNDRY_0100,15987.93,        3.34,11.4,11.41,11.84
SPD DX CLG COIL: THERMAL ZONE: LEASING_0100,26780.88,        3.28,11.19,11.19,11.5
SPD DX CLG COIL: THERMAL ZONE: LOBBY_MAIL_0100,15758.98,        3.34,11.4,11.41,11.84
SPD DX CLG COIL: THERMAL ZONE: PACKAGE_0100,1709.48,        3.28,11.19,11.19,11.5
RTU COIL COOLING DX SINGLE SPEED,143346.46,        2.77,9.44,10.02,9.73
THERMAL ZONE: RETAIL_0100 COIL COOLING DX SINGLE SPEED,145373.27,        3.12,10.65,11.29,10.8
