"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: AMEN_FITNESS_2200,25995.74,14478.06,7.71,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200,6671.76,3715.82,7.69,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200,16400.46,9134.3,7.73,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201,8765.79,4882.09,7.67,           4
SPD DX HTG COIL: THERMAL ZONE: AMEN_SKYLOUNGE_2200,40870.63,22762.4,7.71,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2301,30384.1,16922.17,7.71,           4
SPD DX HTG COIL: THERMAL ZONE: ELEV CONTROL_2302,30390.58,16925.93,7.71,           4
SPD DX HTG COIL: THERMAL ZONE: FCC_0100,1244.41,693.01,5.24,           4
SPD DX HTG COIL: THERMAL ZONE: LAUNDRY_0100,11924.07,6611.02,7.8,           4
SPD DX HTG COIL: THERMAL ZONE: LEASING_0100,20172.24,11234.82,7.7,           4
SPD DX HTG COIL: THERMAL ZONE: LOBBY_MAIL_0100,11753.8,6516.51,7.8,           4
SPD DX HTG COIL: THERMAL ZONE: PACKAGE_0100,1287.74,717.23,5.3,           4
COIL HEATING DX SINGLE SPEED 1,154658.73,85514.07,5.94,           4
THERMAL ZONE: RETAIL_0100 COIL HEATING DX SINGLE SPEED,157352.62,87112.66,7.51,           4
