"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 34 FAN,Fan:OnOff,        0.60,1.2,3051.19,2458.82,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 52 FAN,Fan:OnOff,        0.60,1.2,2924.05,2346.63,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 71 FAN,Fan:OnOff,        0.60,1.2,3114.75,2514.58,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 89 FAN,Fan:OnOff,        0.60,1.2,635.66,508.96,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 102 FAN,Fan:OnOff,        0.60,1.2,678.04,537.72,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 100 FAN,Fan:OnOff,        0.60,1.2,339.02,277.27,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 99 FAN,Fan:OnOff,        0.60,1.2,974.68,792.09,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 101 FAN,Fan:OnOff,        0.60,1.2,1673.92,1341.86,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 103 FAN,Fan:OnOff,        0.60,1.2,911.12,733.99,500.0,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2301,Fan:OnOff,        0.60,1.26,0.0,5.73,524.33,        1.00,""
FAN ONOFF: THERMAL ZONE: ELEV CONTROL_2302,Fan:OnOff,        0.60,1.26,0.0,6.76,524.33,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 95 FAN,Fan:OnOff,        0.60,1.2,974.68,793.32,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 96 FAN,Fan:OnOff,        0.60,1.2,190.7,145.22,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 97 FAN,Fan:OnOff,        0.60,1.2,42.38,36.48,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 98 FAN,Fan:OnOff,        0.60,1.2,296.64,243.29,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 94 FAN,Fan:OnOff,        0.60,1.2,2034.12,1639.94,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 16 FAN,Fan:OnOff,        0.60,1.2,593.29,484.56,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 1 FAN,Fan:OnOff,        0.60,1.2,190.7,146.82,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 2 FAN,Fan:OnOff,        0.60,1.2,190.7,152.25,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 3 FAN,Fan:OnOff,        0.60,1.2,190.7,145.12,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 4 FAN,Fan:OnOff,        0.60,1.2,190.7,146.24,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 5 FAN,Fan:OnOff,        0.60,1.2,190.7,149.93,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 6 FAN,Fan:OnOff,        0.60,1.2,190.7,154.16,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 7 FAN,Fan:OnOff,        0.60,1.2,190.7,147.95,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 17 FAN,Fan:OnOff,        0.60,1.2,466.15,373.87,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 8 FAN,Fan:OnOff,        0.60,1.2,169.51,144.13,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 18 FAN,Fan:OnOff,        0.60,1.2,423.78,347.53,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 9 FAN,Fan:OnOff,        0.60,1.2,190.7,147.71,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 10 FAN,Fan:OnOff,        0.60,1.2,211.89,166.96,500.0,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 11 FAN,Fan:OnOff,        0.60,1.2,190.7,150.71,500.0,        1.00,""
