"",Electric Energy Use,Electric Demand,Natural Gas Energy Use,Natural Gas Demand,Additional Fuel Use,Additional Fuel Demand,District Cooling Use,District Cooling Demand,District Heating Use,District Heating Demand
Heating -- General,640902.78,581978.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooling -- General,69922.22,167146.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Lighting -- General,210805.56,30989.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- Site Lighting,25872.22,6565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Equipment -- General,310502.79,68187.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Equipment -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- Ventilation (simple),36355.56,8432.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- General,317680.56,57407.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pumps -- General,1083.33,241.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Rejection -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humidification -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Recovery -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Systems -- General,809411.08,126606.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refrigeration -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generators -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
