"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
PARALLEL PIU ELEC RHT FAN,Fan:ConstantVolume,        0.70,1.0,148.32,90.59,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 1,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 2,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 3,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 4,Fan:ConstantVolume,        0.70,1.0,148.32,90.59,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 5,Fan:ConstantVolume,        0.70,1.0,63.57,37.77,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 6,Fan:ConstantVolume,        0.70,1.0,21.19,14.71,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 7,Fan:ConstantVolume,        0.70,1.0,21.19,17.4,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 8,Fan:ConstantVolume,        0.70,1.0,42.38,29.04,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 9,Fan:ConstantVolume,        0.70,1.0,42.38,21.84,357.14,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0201_4B,Fan:OnOff,        0.60,1.53,635.66,643.36,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0202,Fan:OnOff,        0.60,1.53,190.7,194.22,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0203,Fan:OnOff,        0.60,1.53,190.7,204.52,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0204,Fan:OnOff,        0.60,1.53,190.7,194.63,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0205,Fan:OnOff,        0.60,1.53,190.7,195.89,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0206,Fan:OnOff,        0.60,1.53,190.7,199.61,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0207,Fan:OnOff,        0.60,1.53,190.7,203.94,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0208,Fan:OnOff,        0.60,1.53,190.7,194.59,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0209_3B,Fan:OnOff,        0.60,1.53,487.34,489.34,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0210,Fan:OnOff,        0.60,1.53,190.7,196.3,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0211_2B,Fan:OnOff,        0.60,1.53,444.96,451.36,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0212,Fan:OnOff,        0.60,1.53,190.7,195.24,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0213,Fan:OnOff,        0.60,1.53,190.7,205.07,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0214,Fan:OnOff,        0.60,1.53,190.7,199.41,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0215,Fan:OnOff,        0.60,1.53,190.7,190.77,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0216,Fan:OnOff,        0.60,1.53,190.7,189.89,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0217,Fan:OnOff,        0.60,1.53,190.7,186.37,635.59,        1.00,""
