"",First Object Used,Month Assumed,11am First Wednesday,Days with Same 11am Value,11pm First Wednesday,Days with Same 11pm Value
SEC2015-MF-AMENITY_HTGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 1,January,       21.11,         365,       21.11,         365
SEC2015-MF-AMENITY_CLGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 1,July,       23.89,         365,       23.89,         365
SEC2015-MF-CORRIDOR_HTGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 8,January,       20.00,         365,       20.00,         365
SEC2015-MF-CORRIDOR_CLGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 8,July,       25.56,         365,       25.56,         365
SEC2015-MF-ELECMECH_HTGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 16,January,        7.22,         365,        7.22,         365
SEC2015-MF-ELECMECH_CLGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 16,July,       30.00,         365,       30.00,         365
SEC2015-MF-OFFICE_HTGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 186,January,       21.10,         365,       15.60,         365
SEC2015-MF-OFFICE_CLGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 186,July,       23.90,         365,       29.40,         365
SEC2015-MF-APARTMENT_HTGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 85,January,       22.22,         365,       22.22,         365
SEC2015-MF-APARTMENT_CLGSETP,THERMOSTAT SETPOINT DUAL SETPOINT 85,July,       26.67,         365,       25.56,         365
