"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: UNIT_0201_4B,23310.73,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0202,7037.88,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0203,7410.49,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0204,7052.56,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0205,7097.25,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0206,7232.03,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0207,7390.02,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0208,7050.85,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0209_3B,17730.85,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0210,7112.95,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0211_2B,16354.05,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0212,7074.05,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0213,7430.28,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0214,7225.21,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0215,6912.66,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0216,6880.92,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0217,6752.29,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0218,6713.05,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0219_4B,21526.18,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0301_4B,132184.66,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0302,41219.69,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0303,44908.9,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0304,44838.27,        2.91,9.92,9.93,10.31
