"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: UNIT_0201_4B,17558.54,9779.2,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0202,5301.1,2952.53,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0203,5581.92,3108.8,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0204,5312.02,2958.67,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0205,5345.8,2977.43,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0206,5447.48,3034.08,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0207,5566.57,3100.27,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0208,5311.0,2957.99,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0209_3B,13355.46,7438.13,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0210,5357.74,2983.92,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0211_2B,12318.51,6860.79,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0212,5328.4,2967.54,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0213,5596.59,3116.99,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0214,5442.37,3031.01,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0215,5206.59,2899.98,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0216,5183.04,2886.67,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0217,5086.14,2832.76,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0218,5056.45,2816.38,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0219_4B,16214.5,9030.57,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0301_4B,99566.29,55452.42,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0302,31048.1,17292.05,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0303,33827.29,18839.8,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0304,33774.06,18810.11,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0305,30732.14,17115.99,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0306,29663.11,16520.57,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0307_3B,71887.68,40037.05,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0308,33845.72,18850.03,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0309_2B,64502.1,35924.05,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0310,30008.08,16712.67,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0311,31253.51,17406.36,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0312,31342.57,17455.83,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0313,31026.26,17279.77,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0314,31060.73,17298.87,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0315,31342.57,17456.18,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0316,31228.26,17392.37,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0317_4B,99441.75,55383.15,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0401_4B,103232.98,57494.59,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0402,32190.14,17928.08,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0403,35066.24,19529.73,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0404,34994.24,19489.81,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0405,31715.17,17663.63,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0406,30461.89,16965.51,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0407_3B,75435.63,42013.36,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0408,34993.9,19489.47,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0409_2B,67204.52,37428.8,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0410,30773.77,17139.19,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0411,32272.38,17973.8,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0412,32380.2,18033.85,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0413,32011.35,17828.44,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0414,32047.17,17848.57,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0415,32388.73,18038.63,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0416,32293.53,17985.74,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0417_4B,102953.87,57339.33,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0501_4B,104003.78,57923.84,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0502,32426.95,18060.12,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0503,35150.18,19576.48,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0504,35072.04,19532.8,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0505,31922.63,17778.96,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0506,30609.64,17047.74,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0507_3B,73020.17,40667.95,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0508,31846.2,17736.31,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0509_2B,67445.07,37562.9,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0510,30989.07,17258.95,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0511,32499.97,18100.39,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0512,32608.47,18161.12,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0513,32238.94,17955.03,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0514,32275.11,17975.16,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0515,32619.39,18166.93,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0516,32541.93,18123.93,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0517_4B,103720.92,57766.19,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2101_4B,20006.41,11142.35,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2102,6039.15,3363.35,6.79,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2103,6613.41,3683.41,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2104,6612.05,3682.38,6.76,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2105,6082.48,3387.57,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2106,6008.1,3345.95,6.79,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2107_3B,14678.01,8174.81,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2108,7313.58,4073.41,6.72,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2109_2B,12920.42,7195.87,6.79,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2110,6098.18,3396.45,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2111,6272.88,3493.69,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2112,6242.51,3476.63,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2113,6254.8,3483.46,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2114,6265.37,3489.6,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2115,6265.37,3489.6,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2116,6283.12,3499.49,6.77,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_2117_4B,20216.6,11259.39,6.81,           4
THERMAL ZONE: AMEN_0300 COIL HEATING DX SINGLE SPEED,133337.96,74261.17,7.34,           4
THERMAL ZONE: AMEN_0400 COIL HEATING DX SINGLE SPEED,134558.15,74940.87,7.35,           4
THERMAL ZONE: AMEN_0500 COIL HEATING DX SINGLE SPEED,135637.75,75542.08,7.35,           4
THERMAL ZONE: AMEN_2100 COIL HEATING DX SINGLE SPEED,25553.19,14231.7,7.34,           4
THERMAL ZONE: AMEN_2204 COIL HEATING DX SINGLE SPEED,54855.63,30373.18,7.46,           4
THERMAL ZONE: AMEN_2205 COIL HEATING DX SINGLE SPEED,18604.02,10350.39,7.34,           4
THERMAL ZONE: AMEN_FITNESS_2202 COIL HEATING DX SINGLE SPEED,66719.65,37119.32,7.34,           4
THERMAL ZONE: AMEN_SKYLOUNGE_2201 COIL HEATING DX SINGLE SPEED,91218.49,50803.38,7.34,           4
THERMAL ZONE: AMEN_SUNROOM_2203 COIL HEATING DX SINGLE SPEED,26325.7,14576.67,7.45,           4
THERMAL ZONE: ELEV CONTROL_2301 COIL HEATING DX SINGLE SPEED,180.84,174.7,3.71,           4
THERMAL ZONE: ELEV CONTROL_2302 COIL HEATING DX SINGLE SPEED,154.57,85.99,3.62,           4
THERMAL ZONE: LAUNDRY_0109 COIL HEATING DX SINGLE SPEED,64058.52,35417.01,7.47,           4
THERMAL ZONE: LOBBY_0101 COIL HEATING DX SINGLE SPEED,6429.5,3552.04,7.47,           4
THERMAL ZONE: OFFICE_0101 COIL HEATING DX SINGLE SPEED,12286.1,6842.71,7.34,           4
THERMAL ZONE: RETAIL_0100 COIL HEATING DX SINGLE SPEED 1,130030.92,71997.55,7.43,           4
THERMAL ZONE: XFMR_0201 COIL HEATING DX SINGLE SPEED,10398.16,5744.68,7.48,           4
THERMAL ZONE: XFMR_0401 COIL HEATING DX SINGLE SPEED,62409.44,34479.35,6.79,           4
