"",Electric Energy Use,Electric Demand,Natural Gas Energy Use,Natural Gas Demand,Additional Fuel Use,Additional Fuel Demand,District Cooling Use,District Cooling Demand,District Heating Use,District Heating Demand
Heating -- General,627016.67,570423.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooling -- General,70677.78,167059.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Lighting -- General,211969.45,30573.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- Site Lighting,25872.22,6565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Lighting -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interior Equipment -- General,314208.34,68528.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exterior Equipment -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- Ventilation (simple),38388.89,8950.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fans -- General,305627.78,55456.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pumps -- General,1083.33,241.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Rejection -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humidification -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heat Recovery -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water Systems -- General,809419.42,126606.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refrigeration -- Not Subdivided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Generators -- General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
