"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
PARALLEL PIU ELEC RHT FAN,Fan:ConstantVolume,        0.70,1.0,148.32,90.59,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 1,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 2,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 3,Fan:ConstantVolume,        0.70,1.0,953.5,543.62,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 4,Fan:ConstantVolume,        0.70,1.0,148.32,90.59,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 5,Fan:ConstantVolume,        0.70,1.0,63.57,37.77,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 6,Fan:ConstantVolume,        0.70,1.0,21.19,14.71,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 7,Fan:ConstantVolume,        0.70,1.0,21.19,17.4,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 8,Fan:ConstantVolume,        0.70,1.0,42.38,29.04,357.14,        1.00,""
PARALLEL PIU ELEC RHT FAN 9,Fan:ConstantVolume,        0.70,1.0,42.38,21.84,357.14,        1.00,""
THERMAL ZONE: RESTROOM_0100: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,105.94,243.59,1512.71,        1.00,""
THERMAL ZONE: RESTROOM_2201: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,42.38,121.81,1512.71,        1.00,""
THERMAL ZONE: RESTROOM_2202: ZONE EF,Fan:ZoneExhaust,        0.45,2.73,42.38,121.81,1512.71,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0201_4B,Fan:OnOff,        0.60,1.53,550.91,573.65,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0202,Fan:OnOff,        0.60,1.53,190.7,194.32,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0203,Fan:OnOff,        0.60,1.53,190.7,204.46,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0204,Fan:OnOff,        0.60,1.53,190.7,194.59,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0205,Fan:OnOff,        0.60,1.53,190.7,195.82,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0206,Fan:OnOff,        0.60,1.53,190.7,199.54,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0207,Fan:OnOff,        0.60,1.53,190.7,203.94,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0208,Fan:OnOff,        0.60,1.53,190.7,194.63,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0209_3B,Fan:OnOff,        0.60,1.53,487.34,489.57,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0210,Fan:OnOff,        0.60,1.53,190.7,196.16,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0211_2B,Fan:OnOff,        0.60,1.53,444.96,451.67,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0212,Fan:OnOff,        0.60,1.53,190.7,195.21,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0213,Fan:OnOff,        0.60,1.53,190.7,205.04,635.59,        1.00,""
FAN ONOFF: THERMAL ZONE: UNIT_0214,Fan:OnOff,        0.60,1.53,190.7,199.37,635.59,        1.00,""
