"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
SPD DX CLG COIL: THERMAL ZONE: UNIT_0201_4B,20785.74,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0202,7040.61,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0203,7408.44,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0204,7050.85,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0205,7095.89,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0206,7230.67,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0207,7389.33,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0208,7051.87,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0209_3B,17738.36,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0210,7107.15,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0211_2B,16365.31,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0212,7073.37,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0213,7429.26,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0214,7224.19,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0215,6911.29,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0216,6879.56,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0217,6751.6,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0218,6716.46,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0219_4B,19002.22,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0301_4B,116794.88,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0302,41240.51,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0303,44883.65,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0304,44811.32,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0305,40787.04,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0306,39385.33,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0307_3B,95469.34,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0308,44870.69,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0309_2B,85696.62,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0310,39834.02,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0311,41484.82,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0312,41602.88,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0313,41183.53,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0314,41229.25,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0315,41605.61,        2.91,9.92,9.93,10.31
SPD DX CLG COIL: THERMAL ZONE: UNIT_0316,41477.31,        2.91,9.92,9.93,10.31
