"",High Temperature Heating (net) Rating Capacity,Low Temperature Heating (net) Rating Capacity,HSPF,Region Number
SPD DX HTG COIL: THERMAL ZONE: UNIT_0201_4B,15656.61,8719.73,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0202,5303.15,2953.55,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0203,5580.56,3107.78,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0204,5311.0,2957.99,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0205,5344.78,2976.75,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0206,5446.46,3033.39,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0207,5565.89,3099.93,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0208,5311.68,2958.33,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0209_3B,13361.26,7441.54,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0210,5353.31,2981.53,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0211_2B,12327.04,6865.23,6.78,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0212,5328.06,2967.54,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0213,5595.91,3116.65,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0214,5441.34,3030.66,6.82,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0215,5205.9,2899.3,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0216,5182.02,2885.99,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0217,5085.8,2832.42,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0218,5059.18,2817.75,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0219_4B,14313.25,7971.45,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0301_4B,87974.22,48996.31,6.81,           4
SPD DX HTG COIL: THERMAL ZONE: UNIT_0302,31063.8,17300.58,6.81,           4
