Zone Names,Space Names,Spacetype Tag,Conditioned,Baseline System,Proposed system,ERV
THERMAL ZONE: AMEN_0300, AMEN_0300, AMEN,Conditioned,PTHP,VRF,ERV-CLB3
THERMAL ZONE: AMEN_0400, AMEN_0400, AMEN,Conditioned,PTHP,VRF,ERV-CLB4
THERMAL ZONE: AMEN_0501, AMEN_0501, AMEN,Conditioned,PTHP,VRF,ERV-CLB5
THERMAL ZONE: AMEN_2100, AMEN_2100, AMEN,Conditioned,PTHP,VRF,ERV-CLB21
THERMAL ZONE: AMEN_FITNESS_2200, AMEN_FITNESS_2200, AMEN,Conditioned,PTHP,VRF,ERV-FIT
THERMAL ZONE: AMEN_SKYLOUNGECORRIDOR_2200, AMEN_SKYLOUNGECORRIDOR_2200, AMEN,Conditioned,PTHP,VRF,ERV-SKY
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2200, AMEN_SKYLOUNGEROOM_2200, AMEN,Conditioned,PTHP,VRF,ERV-SKY
THERMAL ZONE: AMEN_SKYLOUNGEROOM_2201, AMEN_SKYLOUNGEROOM_2201, AMEN,Conditioned,PTHP,VRF,ERV-SKY
THERMAL ZONE: AMEN_SKYLOUNGE_2200, AMEN_SKYLOUNGE_2200, AMEN,Conditioned,PTHP,VRF,ERV-SKY
THERMAL ZONE: CORR_0100, CORR_0100, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_0200, CORR_0200, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_0300, CORR_0300, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_0400, CORR_0400, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_0500, CORR_0500, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_2100, CORR_2100, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_2300, CORR_2300, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: CORR_2301, CORR_2301, CORR,Conditioned,PTHP,RTU-1,
THERMAL ZONE: ELEC_0300, ELEC_0300, ELEC,Unconditioned,,,
THERMAL ZONE: ELEC_0400, ELEC_0400, ELEC,Unconditioned,,,
THERMAL ZONE: ELEV CONTROL_2301, ELEV CONTROL_2301, ELEV CONTROL,Conditioned,PTHP,DHP,
THERMAL ZONE: ELEV CONTROL_2302, ELEV CONTROL_2302, ELEV CONTROL,Conditioned,PTHP,DHP,
THERMAL ZONE: ELEV LOBBY_2200, ELEV LOBBY_2200, ELEV LOBBY,Conditioned,PTHP,,
THERMAL ZONE: ELEV LOBBY_P101, ELEV LOBBY_P101, ELEV LOBBY,Unconditioned,,,
THERMAL ZONE: ELEV LOBBY_P200, ELEV LOBBY_P200, ELEV LOBBY,Unconditioned,,,
THERMAL ZONE: ELEV_0101, ELEV_0101, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0102, ELEV_0102, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0201, ELEV_0201, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0202, ELEV_0202, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0301, ELEV_0301, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0302, ELEV_0302, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0401, ELEV_0401, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0402, ELEV_0402, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0501, ELEV_0501, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_0502, ELEV_0502, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2101, ELEV_2101, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2102, ELEV_2102, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2201, ELEV_2201, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2202, ELEV_2202, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2301, ELEV_2301, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_2302, ELEV_2302, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_P101, ELEV_P101, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_P102, ELEV_P102, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_P201, ELEV_P201, ELEV,Unconditioned,,,
THERMAL ZONE: ELEV_P202, ELEV_P202, ELEV,Unconditioned,,,
THERMAL ZONE: FCC_0100, FCC_0100, FCC,Conditioned,PTHP,DHP,ERV-LOB
THERMAL ZONE: LAUNDRY_0100, LAUNDRY_0100, LAUNDRY,Conditioned,PTHP,,ERV-LAUND
THERMAL ZONE: LEASING_0100, LEASING_0100, LEASING,Conditioned,PTHP,,ERV-LOB
THERMAL ZONE: LOBBY_MAIL_0100, LOBBY_MAIL_0100, LOBBY,Conditioned,PTHP,,ERV-LOB
THERMAL ZONE: MECH_0200, MECH_0200, MECH,Unconditioned,,,
THERMAL ZONE: MECH_0300, MECH_0300, MECH,Unconditioned,,,
THERMAL ZONE: MECH_0400, MECH_0400, MECH,Unconditioned,,,
THERMAL ZONE: MECH_0500, MECH_0500, MECH,Unconditioned,,,
